"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",1.53391309718816,0.0764969902131595,0.0462774216636921,0.0700377608208062,0.102271732459487,0.0491298146937564,0.0684736280010371,0.00554335107001964
"10-19",0.0835673689729531,2.62249133680517,0.226597876979901,0.270696721261401,0.217353093485638,0.140854498507565,0.0455316756302677,0.0199971044403868
"20-29",0.0565398310005568,0.25342462194938,0.503921703743367,0.115733356028738,0.0856251280032429,0.0415232743831726,0.0150193816711792,0.00429297261892935
"30-39",0.0753436992185836,0.266566335090304,0.101903214010957,0.181145918039538,0.124477716826586,0.0426908137274822,0.0230777718684257,0.0151674758899356
"40-49",0.127607781129583,0.248253276410765,0.0874454921446007,0.144377152325915,0.153755952485901,0.0544206868842034,0.0202379540711836,0.0139322531726912
"50-59",0.0613001687702168,0.1608773429555,0.0424055583203223,0.049514943807822,0.0544200603284106,0.0312207181374851,0.0136769831709578,0.013054395976697
"60-69",0.0734624824154167,0.0447160582196625,0.0131889117605014,0.0230155548948187,0.0174015255040913,0.0117602357830604,0.00852146259941071,0.00555841025500644
"70-",0.00674995848546112,0.0222896603903271,0.0042785980066842,0.0171683020094552,0.0135965439591179,0.0127399861393888,0.00630865902608085,0.00953889133948003
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
