"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.290402631351156,0.224240749627015,0.0256846194710998,0.0707923745179039,0.0522141138877282,0.0173576779535121,0.0303220713451068,0.0290751638970024
"10-19",0.244966624316007,0.598895249010971,0.141568542001428,0.120669536715904,0.482956106259441,0.442243582612378,0.0658657015182732,0.0719661121986085
"20-29",0.0313804008953452,0.15832873067835,0.652956515865739,0.120260023411489,0.124619374679498,0.273365175752285,0.117819933754516,0.0556097405665792
"30-39",0.0761554811309982,0.118828318309558,0.105888944407873,0.185406252535607,0.0804690315767874,0.0730050979348515,0.132126297640484,0.0563936214153296
"40-49",0.0651492553868659,0.551615961929773,0.127268744628194,0.093333087444606,0.160692710603041,0.0815828894962086,0.0865555483367081,0.113056526588489
"50-59",0.0216574923932002,0.505109693077918,0.279173621909895,0.0846749688353132,0.0815819502167739,0.17436116506055,0.1008042834302,0.0834542517289591
"60-69",0.0325312780703716,0.0646858369036638,0.103460764493272,0.131770089146009,0.0744244490625895,0.0866771660287547,0.198661471952133,0.127279441980944
"70-",0.0354038823779654,0.0802166236267419,0.055423536616856,0.0638328177272856,0.110332335665462,0.0814442898926848,0.144459038403002,0.267859365977741
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
