"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.067809315930907,0.172544758965459,0.0996960138207265,0.100938534185113,0.064814763734399,0.030450460339303,0
"10-19",0.0740767199913551,0.0726366344200199,0.216943534927125,0.242004836100102,0.175902126409383,0.15504976621701,0.0563542893802085,0.0266377943431218
"20-29",0.210808017413659,0.242627309911404,1.60457375396646,1.26235235908766,0.750472508454628,0.564348384418063,0.222124569274951,0.0871806701589245
"30-39",0.107248809650253,0.238312240845499,1.11150118703378,1.38746741340982,1.00264733790549,0.699155179091797,0.265099472117954,0.0672286178262097
"40-49",0.125944306095892,0.200909398198354,0.766427325402918,1.16293398629429,1.02574409968741,0.797716700351304,0.287920819410614,0.0787904607124453
"50-59",0.0808705666912542,0.177090506012658,0.576339623594765,0.810915191888047,0.797707516086124,0.712842423193254,0.301399285645636,0.0921202205902918
"60-69",0.0326690212352047,0.0553448044679022,0.195053392219755,0.264384771974715,0.247567588329823,0.259159978464053,0.141972021592695,0.059101061669586
"70-",0,0.0296916681725385,0.086888753941411,0.0760971187885311,0.0768919391111655,0.0899015424055421,0.0670782524224388,0.0340487018138483
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
