"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.151914056942238,0.19382643065313,0.106635541396942,0.557120219256932,0.375543327678356,0.0636932973739355,0.0995488828829069,0.0315125860207588
"10-19",0.211741204483549,0.247276854759423,0.057637784730702,0.0904566371417026,0.477030777469019,0.28626216912624,0.0407346601588977,0.0582819106019511
"20-29",0.130282873861278,0.0644614768684415,0.563521408851059,0.127261806951516,0.064094990363811,0.180717853935603,0.0581907919711262,0.0364389774569956
"30-39",0.599326673730779,0.0890764178269173,0.112054014453544,0.585604888118834,0.13697755005268,0.03631496924604,0.0684719546518411,0.0285557234890519
"40-49",0.468577676456575,0.544848253854201,0.0654576303366766,0.158875251839151,0.484767452577322,0.129950969629065,0.0489946588737399,0.0458880093501529
"50-59",0.0794712925927246,0.326955103640043,0.184557735593591,0.0421199200624023,0.129949473478658,0.40983742982622,0.139960352014427,0.0671883806783612
"60-69",0.106801819499752,0.0400049725824845,0.0510988559571388,0.0682873563370783,0.0421278654431581,0.120345745797574,0.387743732620919,0.115676449793639
"70-",0.0383718521022502,0.0649636050103943,0.0363169649919628,0.0323226678266122,0.0447822996461705,0.0655701757552235,0.131289927446131,0.347186581112781
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
