"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0.413659681552114,0.0165940921364302,0.0073722762077943,0.0227256211350873,0.0241984469508255,0.0108275410757393,0.00929760942924156,0.0120819031152895
"10-19",0.0181278324346111,0.550140931129667,0.0213606624805822,0.00853654758412493,0.0130302667923548,0.0125764461821127,0.00891936770375289,0.0107097891266756
"20-29",0.00900714075877623,0.0238895345617469,0.0404630034721066,0.00463591070484666,0.00359516197352947,0.00267627562617437,0.00243879301665682,0.00369006003569883
"30-39",0.0244472744886619,0.00840629392635591,0.00408191913638422,0.00884026053757705,0.00591725944939477,0.00276050862039602,0.00217687739373476,0.00109033705886814
"40-49",0.030193192663476,0.0148827254852125,0.00367159402206011,0.0068632128758226,0.010475376224487,0.00419301732610522,0.00224216106971986,0.00108787363439158
"50-59",0.0135097211224293,0.0143642217113318,0.0027331409633,0.00320177615007431,0.00419296905109354,0.00320347908906931,0.00136851274774814,0.0014311337640278
"60-69",0.00997501504069167,0.00875959340399192,0.00214156791557774,0.00217100859824948,0.00192791340971399,0.00117672387137366,0.00158523490736488,0.00481973615334588
"70-",0.0147117408627844,0.0119376064268332,0.00367770421913932,0.00123416948571981,0.00106166041548564,0.00139666548723296,0.00547028207566129,0.00693083157820694
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
