"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0594439426332646,0.0344046226899071,0.0680035443970168,0.0377364990920203,0.0246834220747314,0.0817740676794039,0.0491784455217633
"10-19",0.064938161271429,0.172160766122207,0.0644226606605914,0.0475929808541154,0.054354185958051,0.037868171963167,0.0278340739822554,0.0634826895911637
"20-29",0.0420341385192477,0.0720496089393266,0.379940590288281,0.14845278913267,0.0804486189312304,0.0879685284735138,0.0625748566577367,0.0611346043256057
"30-39",0.0731553741124794,0.0468667903445108,0.130712673170503,0.248908613632444,0.109425138791381,0.0860292882506372,0.118270007599737,0.0619047802972969
"40-49",0.0470850625185095,0.0620814939154193,0.0821589320663959,0.126918217447521,0.141188612677442,0.0908489091855772,0.102838442464969,0.0904944437851434
"50-59",0.030797957379632,0.0432512340930952,0.0898376782648012,0.0997810770426946,0.0908478632246828,0.144238309436068,0.139884373252261,0.120521360747733
"60-69",0.0877319660766963,0.0273354770157755,0.0549486177895443,0.11795115524331,0.0884252317729722,0.120280415004489,0.200764146669815,0.183861272813225
"70-",0.0598829952240851,0.0707606241628559,0.060929900892822,0.0700709842352996,0.0883139049893504,0.117618652610758,0.208678025742186,0.24319651319743
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
