"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0830299175373607,0.0287268427511884,0.117157740457094,0.0696060356291838,0.032186542696323,0.0544537374598284,0.0306139010153784
"10-19",0.0907041144403727,0.369697554660542,0.253114894331503,0.213729801440287,0.212012059631474,0.171542027450836,0.0851799231572116,0.134361702701572
"20-29",0.0350972628971261,0.283080968191983,1.14038798711745,0.666866560310991,0.412814532110784,0.417001499297913,0.372421093989603,0.236826280538105
"30-39",0.12603340618945,0.210468636650013,0.587175971940597,0.756637503777402,0.484015245720861,0.417552117778736,0.503423882389809,0.33145369759499
"40-49",0.0868497242225303,0.242152930045994,0.421590843327013,0.561391585908174,0.55369098073857,0.455663386670683,0.490429081762299,0.418720118954472
"50-59",0.0401597382712117,0.195927186379551,0.425861921074934,0.484297858097318,0.455658140530826,0.550687839325441,0.663473636783305,0.474194195701204
"60-69",0.0584211301106431,0.0836540792826048,0.327032700407609,0.502066666858676,0.421693524168354,0.570491774895545,0.691966089905573,0.55460542766704
"70-",0.0372775525709375,0.149765518883603,0.236033290166541,0.375177598682544,0.408630709861831,0.462773420646654,0.629463529435188,0.783735829045714
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
