"","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-"
"0-9",0,0.0130103010042386,0.0526740235077997,0.0452104621906798,0.0321875946725152,0.022626770455682,0.0041760534862603,0
"10-19",0.0142128026402188,0.0147050845752633,0.0259843305723735,0.02256710766873,0.0188876534277827,0.0227525640391588,0.01155454117669,0.00866815549610929
"20-29",0.0643549333602339,0.0290605950932874,0.157280937962037,0.11625513577693,0.0711017512091155,0.0676918651368687,0.0377918262010688,0.0976172621708201
"30-39",0.0486355278196702,0.0222227707702178,0.102362641052314,0.144954805578377,0.0866753097577736,0.0774402633770571,0.0443337229977585,0.0466159838952074
"40-49",0.0401615132283509,0.0215728323529379,0.0726133527834094,0.100531522579479,0.0919817295989664,0.0871667725216357,0.0410536049700141,0.0526229677599389
"50-59",0.028231835521955,0.0259869019933936,0.0691301776537199,0.0898190958376953,0.0871657689538861,0.0863886321510555,0.0513574965862883,0.0541573417274355
"60-69",0.00448031256348196,0.0113475625222739,0.0331859907382571,0.0442142006240486,0.0352997813616842,0.0441600506144493,0.0239757230272368,0.0341205349202971
"70-",0,0.00966191094289678,0.0972904000133603,0.0527653576500407,0.0513549736384131,0.0528529840971048,0.0387259685277386,0.0137590130480217
"prob",0.108980896605865,0.11905366174915,0.133148331407994,0.117237098933702,0.135979024378958,0.135977458826403,0.116921031267737,0.132702496830191
